Index,RMAG,Longitude,Latitude,VMAG,AZI,HFPA
1,1790.212477,52.01993315,0.856048089,1.707498172,-91.46025509,-2.78138405
2,1799.462645,51.42703686,0.880244882,1.697020554,-90.36949743,-2.981620739
3,1797.176667,50.35281236,0.920861827,1.710414224,-90.31500765,-2.88750381
4,1788.971157,50.85838113,0.813242669,1.710353273,-91.12976731,-2.703756835
5,1797.241639,51.8668214,0.698828272,1.710523161,-91.21338455,-3.026655732
6,1792.542827,53.56112921,0.935391062,1.717845452,-91.06804714,-2.96226352
7,1791.279319,50.43389343,0.80462338,1.726976574,-91.21314624,-3.060180228
8,1802.769602,52.53267767,0.890792466,1.699737211,-91.40101991,-3.074773597
9,1801.023881,52.51728051,0.703791153,1.704662131,-91.12789985,-3.160155355
10,1790.123257,50.73203065,0.772891776,1.713108536,-90.85353862,-2.511692579
11,1794.919989,51.04773509,0.703313023,1.705788341,-90.54998097,-2.650520326
12,1791.534092,51.443192,0.906914944,1.702130345,-91.12447107,-2.584186151
13,1800.327288,52.66088532,0.816334982,1.711853733,-91.16834249,-3.245702367
14,1791.587552,52.70147605,0.716458116,1.716963764,-90.48303594,-3.021217311
15,1800.639167,53.62003075,0.92671828,1.708255082,-91.31168794,-3.017614592
16,1799.365706,50.83228549,0.733282398,1.706966591,-90.2553577,-3.1324532
17,1802.408154,53.21356967,0.912125786,1.694335864,-90.94539225,-2.799156527
18,1790.004372,51.97265528,0.753547447,1.711975726,-91.31256964,-2.702623741
19,1799.185955,51.05486199,0.822723077,1.717550541,-90.35515689,-3.425201799
20,1793.027494,50.14079378,0.944396385,1.701065542,-90.03815496,-2.622864794
21,1794.100471,52.69683651,0.935169315,1.719011097,-91.03627671,-2.955484058
22,1796.096894,50.01748213,0.908554746,1.719696763,-90.22004507,-3.36444565
23,1792.449973,50.48998062,0.717664081,1.726040582,-90.6158293,-3.207198217
24,1796.1892,51.58495512,0.936946513,1.724892462,-90.95245422,-3.242525953
25,1803.159457,52.79463893,0.872965889,1.710648857,-90.41030099,-3.236226298
26,1793.637127,50.92294865,0.742787536,1.705947907,-90.81390697,-2.725513649
27,1796.094288,50.54451777,0.929339328,1.710543427,-91.01939003,-2.913198905
28,1800.080328,51.00169286,0.803058995,1.69996514,-90.66289211,-3.120861319
29,1788.999567,51.02791942,0.841158118,1.703915824,-90.13227298,-2.514984884
30,1798.588377,52.19166547,0.809400441,1.6959006,-90.06701434,-2.941388412
31,1802.179223,53.73281261,0.769625121,1.709507204,-90.48395289,-3.332144863
32,1788.398674,51.573976,0.725668747,1.72888274,-90.30097082,-3.075912412
33,1791.880686,53.75081314,0.883482494,1.708514223,-90.4508126,-2.513871242
